,Total_f1,w_1,w_2,w_3,1_f1,2_f1,3_f1
0,0.9199999999999999,0.1,0.25,0.5,0.69,0.14,0.09
1,0.97,0.1,0.25,1.0,0.65,0.13,0.19
2,0.9199999999999999,0.1,0.25,1.5,0.61,0.1,0.21
3,0.88,0.1,0.25,2.0,0.56,0.1,0.22
4,0.8300000000000001,0.1,0.25,2.5,0.54,0.07,0.22
5,0.8200000000000001,0.1,0.25,3.0,0.51,0.07,0.24
6,0.76,0.1,0.25,3.5,0.47,0.06,0.23
7,0.75,0.1,0.25,4.0,0.46,0.06,0.23
8,0.72,0.1,0.25,4.5,0.44,0.05,0.23
9,0.68,0.1,0.25,5.0,0.4,0.05,0.23
10,0.6799999999999999,0.1,0.25,5.5,0.4,0.04,0.24
11,0.6799999999999999,0.1,0.25,6.0,0.39,0.05,0.24
12,0.99,0.1,0.5,0.5,0.62,0.3,0.07
13,1.0499999999999998,0.1,0.5,1.0,0.58,0.29,0.18
14,1.02,0.1,0.5,1.5,0.54,0.28,0.2
15,0.96,0.1,0.5,2.0,0.5,0.26,0.2
16,0.96,0.1,0.5,2.5,0.48,0.26,0.22
17,0.9299999999999999,0.1,0.5,3.0,0.46,0.24,0.23
18,0.86,0.1,0.5,3.5,0.41,0.22,0.23
19,0.85,0.1,0.5,4.0,0.4,0.22,0.23
20,0.81,0.1,0.5,4.5,0.38,0.2,0.23
21,0.78,0.1,0.5,5.0,0.36,0.19,0.23
22,0.77,0.1,0.5,5.5,0.34,0.2,0.23
23,0.73,0.1,0.5,6.0,0.31,0.19,0.23
24,0.9400000000000001,0.1,0.75,0.5,0.53,0.37,0.04
25,0.98,0.1,0.75,1.0,0.48,0.35,0.15
26,0.97,0.1,0.75,1.5,0.44,0.35,0.18
27,0.96,0.1,0.75,2.0,0.42,0.34,0.2
28,0.94,0.1,0.75,2.5,0.4,0.32,0.22
29,0.9099999999999999,0.1,0.75,3.0,0.37,0.32,0.22
30,0.8899999999999999,0.1,0.75,3.5,0.36,0.31,0.22
31,0.8400000000000001,0.1,0.75,4.0,0.33,0.28,0.23
32,0.84,0.1,0.75,4.5,0.31,0.31,0.22
33,0.84,0.1,0.75,5.0,0.31,0.3,0.23
34,0.76,0.1,0.75,5.5,0.28,0.26,0.22
35,0.73,0.1,0.75,6.0,0.27,0.23,0.23
36,0.87,0.1,1.0,0.5,0.47,0.38,0.02
37,0.9400000000000001,0.1,1.0,1.0,0.44,0.38,0.12
38,0.92,0.1,1.0,1.5,0.38,0.37,0.17
39,0.8999999999999999,0.1,1.0,2.0,0.36,0.36,0.18
40,0.8699999999999999,0.1,1.0,2.5,0.32,0.35,0.2
41,0.86,0.1,1.0,3.0,0.31,0.34,0.21
42,0.8200000000000001,0.1,1.0,3.5,0.28,0.33,0.21
43,0.85,0.1,1.0,4.0,0.3,0.33,0.22
44,0.8,0.1,1.0,4.5,0.27,0.31,0.22
45,0.75,0.1,1.0,5.0,0.23,0.3,0.22
46,0.76,0.1,1.0,5.5,0.24,0.29,0.23
47,0.74,0.1,1.0,6.0,0.22,0.29,0.23
48,0.8400000000000001,0.1,1.25,0.5,0.42,0.4,0.02
49,0.84,0.1,1.25,1.0,0.36,0.39,0.09
50,0.84,0.1,1.25,1.5,0.33,0.38,0.13
51,0.8599999999999999,0.1,1.25,2.0,0.3,0.38,0.18
52,0.8499999999999999,0.1,1.25,2.5,0.29,0.37,0.19
53,0.84,0.1,1.25,3.0,0.27,0.36,0.21
54,0.81,0.1,1.25,3.5,0.25,0.36,0.2
55,0.78,0.1,1.25,4.0,0.23,0.34,0.21
56,0.77,0.1,1.25,4.5,0.23,0.32,0.22
57,0.74,0.1,1.25,5.0,0.21,0.32,0.21
58,0.74,0.1,1.25,5.5,0.2,0.31,0.23
59,0.74,0.1,1.25,6.0,0.2,0.31,0.23
60,0.78,0.1,1.5,0.5,0.36,0.4,0.02
61,0.8,0.1,1.5,1.0,0.32,0.41,0.07
62,0.8,0.1,1.5,1.5,0.28,0.4,0.12
63,0.8400000000000001,0.1,1.5,2.0,0.28,0.39,0.17
64,0.8200000000000001,0.1,1.5,2.5,0.25,0.38,0.19
65,0.81,0.1,1.5,3.0,0.23,0.39,0.19
66,0.7999999999999999,0.1,1.5,3.5,0.21,0.38,0.21
67,0.78,0.1,1.5,4.0,0.2,0.37,0.21
68,0.74,0.1,1.5,4.5,0.19,0.34,0.21
69,0.74,0.1,1.5,5.0,0.18,0.35,0.21
70,0.75,0.1,1.5,5.5,0.18,0.34,0.23
71,0.7,0.1,1.5,6.0,0.16,0.31,0.23
72,0.77,0.1,1.75,0.5,0.35,0.41,0.01
73,0.75,0.1,1.75,1.0,0.29,0.4,0.06
74,0.77,0.1,1.75,1.5,0.25,0.4,0.12
75,0.79,0.1,1.75,2.0,0.24,0.39,0.16
76,0.76,0.1,1.75,2.5,0.22,0.38,0.16
77,0.78,0.1,1.75,3.0,0.21,0.39,0.18
78,0.75,0.1,1.75,3.5,0.19,0.37,0.19
79,0.73,0.1,1.75,4.0,0.18,0.37,0.18
80,0.76,0.1,1.75,4.5,0.17,0.37,0.22
81,0.74,0.1,1.75,5.0,0.16,0.36,0.22
82,0.72,0.1,1.75,5.5,0.16,0.34,0.22
83,0.72,0.1,1.75,6.0,0.16,0.34,0.22
84,0.71,0.1,2.0,0.5,0.29,0.41,0.01
85,0.73,0.1,2.0,1.0,0.25,0.41,0.07
86,0.72,0.1,2.0,1.5,0.23,0.4,0.09
87,0.74,0.1,2.0,2.0,0.21,0.4,0.13
88,0.7400000000000001,0.1,2.0,2.5,0.19,0.4,0.15
89,0.75,0.1,2.0,3.0,0.19,0.38,0.18
90,0.76,0.1,2.0,3.5,0.18,0.39,0.19
91,0.74,0.1,2.0,4.0,0.16,0.38,0.2
92,0.74,0.1,2.0,4.5,0.17,0.38,0.19
93,0.75,0.1,2.0,5.0,0.16,0.37,0.22
94,0.72,0.1,2.0,5.5,0.15,0.36,0.21
95,0.7,0.1,2.0,6.0,0.13,0.35,0.22
96,0.69,0.1,2.25,0.5,0.27,0.41,0.01
97,0.68,0.1,2.25,1.0,0.22,0.41,0.05
98,0.71,0.1,2.25,1.5,0.21,0.41,0.09
99,0.74,0.1,2.25,2.0,0.19,0.41,0.14
100,0.7100000000000001,0.1,2.25,2.5,0.16,0.39,0.16
101,0.7500000000000001,0.1,2.25,3.0,0.18,0.4,0.17
102,0.72,0.1,2.25,3.5,0.15,0.39,0.18
103,0.72,0.1,2.25,4.0,0.15,0.38,0.19
104,0.72,0.1,2.25,4.5,0.15,0.38,0.19
105,0.72,0.1,2.25,5.0,0.14,0.37,0.21
106,0.72,0.1,2.25,5.5,0.13,0.37,0.22
107,0.7,0.1,2.25,6.0,0.12,0.37,0.21
108,0.6699999999999999,0.1,2.5,0.5,0.25,0.42,0.0
109,0.66,0.1,2.5,1.0,0.22,0.41,0.03
110,0.69,0.1,2.5,1.5,0.19,0.42,0.08
111,0.7,0.1,2.5,2.0,0.18,0.41,0.11
112,0.7000000000000001,0.1,2.5,2.5,0.16,0.4,0.14
113,0.7000000000000001,0.1,2.5,3.0,0.15,0.39,0.16
114,0.7000000000000001,0.1,2.5,3.5,0.14,0.39,0.17
115,0.7000000000000001,0.1,2.5,4.0,0.14,0.39,0.17
116,0.69,0.1,2.5,4.5,0.13,0.38,0.18
117,0.72,0.1,2.5,5.0,0.13,0.39,0.2
118,0.73,0.1,2.5,5.5,0.13,0.38,0.22
119,0.71,0.1,2.5,6.0,0.11,0.38,0.22
120,0.65,0.1,2.75,0.5,0.23,0.42,0.0
121,0.63,0.1,2.75,1.0,0.19,0.41,0.03
122,0.6599999999999999,0.1,2.75,1.5,0.17,0.41,0.08
123,0.6499999999999999,0.1,2.75,2.0,0.15,0.41,0.09
124,0.68,0.1,2.75,2.5,0.14,0.41,0.13
125,0.7000000000000001,0.1,2.75,3.0,0.14,0.4,0.16
126,0.66,0.1,2.75,3.5,0.13,0.39,0.14
127,0.6900000000000001,0.1,2.75,4.0,0.12,0.4,0.17
128,0.69,0.1,2.75,4.5,0.13,0.38,0.18
129,0.7,0.1,2.75,5.0,0.11,0.39,0.2
130,0.71,0.1,2.75,5.5,0.11,0.4,0.2
131,0.72,0.1,2.75,6.0,0.11,0.39,0.22
132,0.64,0.1,3.0,0.5,0.21,0.42,0.01
133,0.61,0.1,3.0,1.0,0.17,0.42,0.02
134,0.63,0.1,3.0,1.5,0.16,0.42,0.05
135,0.6699999999999999,0.1,3.0,2.0,0.15,0.41,0.11
136,0.67,0.1,3.0,2.5,0.14,0.41,0.12
137,0.65,0.1,3.0,3.0,0.12,0.4,0.13
138,0.7,0.1,3.0,3.5,0.12,0.4,0.18
139,0.6900000000000001,0.1,3.0,4.0,0.12,0.4,0.17
